WELLNAME,= 33846-CBL (1),,,,,,
STDEP  =,17,,,,,,
ENDEP  =,10431.5,,,,,,
LEVEL  =,0.5,,,,,,
CURNAMES,"AMP3FT, AMPAVG,","AMPMAX,","AMPMIN, CCL, GR,",LTEN,,,
,,,,,,,
DEPTH,AMP3FT,AMPAVG,AMPMAX,AMPMIN,CCL,GR,LTEN
109.5,57.9237,93.7671,99.2167,89.7877,0,82.6498,223.8997
110,58.935,94.6795,101.2728,89.9906,0,81.9113,212.0289
110.5,59.2836,95.1058,100.7707,90.1281,0,73.7448,231.0222
111,59.1152,94.7332,100.4403,91.2179,0,62.1116,236.5619
111.5,58.9927,94.8108,98.8742,92.641,0,52.5276,234.9791
112,59.0751,95.2689,97.2554,93.5862,0,52.7567,208.072
112.5,59.3837,94.9848,98.2892,91.7767,0,67.3807,220.7342
113,59.968,95.7082,97.9202,93.0802,0,80.2935,208.8634
113.5,60.7284,96.8092,99.6551,94.5981,0,85.0828,223.1083
114,60.6881,96.3061,100.6107,93.3034,0,93.411,218.36
114.5,59.4565,94.8144,99.0928,90.8386,0,91.1056,229.4394
115,57.8807,93.0732,97.8152,88.5958,0,75.7965,209.6548
115.5,57.4809,92.6687,95.5622,89.0668,0,66.5062,230.2308
116,57.6954,93.1718,94.8009,89.7642,0,62.339,219.9428
116.5,57.6317,93.4706,97.4005,88.0182,0,74.4885,238.1446
117,57.8375,95.0375,98.5529,90.0007,0,87.5859,238.1446
117.5,58.5687,96.6091,102.5953,93.9417,0,84.2581,229.4394
118,60.5103,97.1702,103.5184,93.6681,0,79.538,205.6979
118.5,59.8523,95.8291,97.1685,93.5101,0,77.6521,227.8566
119,58.532,93.9317,95.752,92.0897,0,80.7525,213.6117
119.5,59.1424,93.9677,95.2823,92.9434,0,88.8857,220.7342
120,60.1309,95.0888,95.9069,94.1139,0,83.9657,236.5619
120.5,60.254,93.6138,95.5483,91.4604,0,73.5371,228.648
121,59.949,94.0658,99.0717,91.6757,0,68.1647,220.7342
121.5,59.1151,95.3428,98.4008,93.578,0,72.6646,234.9791
122,58.1947,93.5659,96.5737,91.6723,0,77.9501,209.6548
122.5,58.1322,93.1771,97.3629,91.627,0,72.465,224.6911
123,58.8903,93.8971,97.8551,92.919,0,66.2602,231.0222
123.5,59.8705,93.1687,96.7369,89.5518,0,71.521,219.9428
124,59.5753,93.8132,96.8887,90.3612,0,68.6541,225.4825
124.5,58.7559,93.8788,96.9603,87.3993,0,61.9829,225.4825
125,58.85,92.7708,99.1129,83.7381,0,73.4294,223.8997
125.5,58.9707,93.339,96.6225,90.8921,0,82.2782,231.0222
126,59.017,93.5611,96.7277,92.0419,0,72.0034,238.936
126.5,59.6185,93.3202,94.4536,91.628,0,67.3034,217.5686
127,61.8932,93.8115,96.3589,91.9087,0,72.4291,231.0222
127.5,61.2379,93.4367,97.0815,90.3659,0,71.2061,234.1877
128,58.9949,93.6629,96.8371,89.7466,0,70.2451,217.5686
128.5,59.0257,94.1865,97.3168,90.794,0,75.2543,234.1877
129,58.8557,93.8166,96.6265,91.9938,0,74.468,244.4757
129.5,59.2952,94.0148,96.5655,91.1575,0,69.7452,237.3533
130,60.8159,94.7828,98.3898,89.2789,0,61.4399,222.3169
130.5,59.2129,92.3502,95.7185,86.6122,0,52.296,212.8203
131,54.3455,83.0132,86.5298,79.4876,0,53.3107,217.5686
131.5,50.6915,72.5307,82.2472,63.7596,0,56.1692,229.4394
132,37.2289,56.0426,61.9005,52.407,0,56.6578,224.6911
132.5,34.1206,54.9797,58.3942,49.4448,0,59.4934,243.6843
133,34.6701,57.6481,62.1044,53.6833,2,68.9548,215.1945
133.5,35.5148,58.0629,61.6379,54.7224,0,78.1867,218.36
134,38.4597,62.5068,65.417,58.9465,0,87.2699,220.7342
134.5,45.7017,73.1129,74.6612,69.5109,0,89.343,231.8136
135,56.2682,88.7043,90.613,86.1584,0,92.5447,238.936
135.5,59.8854,93.4895,96.2943,90.046,0,108.7994,241.3102
136,59.6518,93.4094,95.7558,90.2295,0,111.1842,223.8997
136.5,58.8517,93.9525,95.7002,92.3919,0,89.8019,238.1446
137,57.9483,94.2538,96.2355,92.9417,0,70.9722,227.8566
137.5,57.9527,93.4378,95.0102,91.4488,0,67.3415,237.3533
138,58.2261,93.0976,94.42,91.8216,0,70.1017,221.5256
138.5,58.6467,92.8257,94.807,90.5346,0,81.2244,215.9859
139,58.3405,91.9479,94.5761,89.2872,0,88.9439,220.7342
139.5,57.7993,91.8203,94.8324,89.8907,0,77.4094,223.1083
140,56.8707,92.4988,94.9946,90.6835,0,64.4701,212.8203
140.5,55.4114,92.0197,94.3674,89.9431,0,60.5532,231.8136
141,56.3321,91.8825,94.4281,90.3484,0,68.3342,241.3102
141.5,56.8286,92.0131,94.6024,89.9001,0,79.1246,225.4825
142,56.7076,91.8043,92.6193,90.794,0,75.0856,222.3169
142.5,56.7955,92.307,95.2959,89.9731,0,58.2895,232.6049
143,56.6336,93.5504,99.4066,90.9364,0,57.6548,218.36
143.5,57.0123,93.2217,97.5957,90.3486,0,69.3261,241.3102
144,56.3937,92.0435,93.9785,90.3271,0,66.4622,243.6843
144.5,55.9988,91.115,92.5098,89.5724,0,58.1342,226.2739
145,55.9045,90.8878,93.1677,88.5424,0,58.1594,235.7705
145.5,56.5981,91.1839,93.2331,89.6638,0,54.633,232.6049
146,57.8922,92.8938,95.1701,91.1007,0,48.3511,220.7342
146.5,57.0827,92.1762,94.4614,89.8581,0,47.3509,233.3963
147,56.064,89.9955,92.3802,88.5566,0,53.5024,247.6413
147.5,56.3401,89.9734,93.568,88.0677,0,73.3589,219.9428
148,56.507,90.7605,93.7445,88.6305,0,87.8054,229.4394
148.5,56.5912,90.71,92.5712,88.827,0,82.7976,229.4394
149,56.6413,90.3908,92.2549,87.7908,0,82.1398,219.1514
149.5,57.0996,90.9196,94.6056,87.5969,0,87.3464,226.2739
150,57.7163,90.687,93.2382,89.0754,0,85.4008,238.936
150.5,57.3581,90.0899,92.0947,87.0869,0,82.5224,218.36
151,56.6264,90.6701,94.1917,87.3409,0,76.7896,230.2308
151.5,56.453,91.368,94.9386,87.4357,0,69.0777,220.7342
152,55.9571,92.1227,94.3189,89.7746,0,70.833,227.0653
152.5,54.3808,92.3111,94.0558,90.3413,0,74.0512,241.3102
153,55.7196,91.3727,93.2336,89.5048,0,71.5377,235.7705
153.5,57.5894,91.3863,95.4777,88.1476,0,70.2131,240.5188
154,58.3027,91.6935,94.6391,89.113,0,71.8205,238.936
154.5,58.8233,92.2111,94.3197,90.2565,0,67.7225,226.2739
155,58.5451,92.7945,95.2296,90.6439,0,63.747,232.6049
155.5,58.2891,92.5977,94.3935,89.795,0,65.3808,243.6843
156,57.3095,92.3912,94.1996,90.3227,0,72.8491,256.3465
156.5,57.1563,92.1385,93.9778,90.6211,0,77.706,250.0154
157,57.4657,93.0152,94.7351,90.5552,0,75.3325,245.2671
157.5,58.3491,94.5982,96.9015,92.4599,0,73.3045,223.1083
158,59.088,94.0868,96.1755,91.9937,0,76.6755,226.2739
158.5,59.5633,92.9995,95.6491,88.9107,0,78.6371,238.936
159,59.0614,92.7976,95.8171,88.3809,0,70.9478,246.0585
159.5,57.9164,92.6906,94.8112,90.0565,0,70.9996,238.936
160,56.832,91.5974,95.2464,86.3425,0,80.8653,208.072
160.5,56.2252,91.3444,95.5141,86.68,0,77.8179,212.8203
161,57.4083,92.6831,96.5706,90.6246,0,67.2708,223.1083
161.5,58.4702,93.1004,95.7593,90.7941,0,67.9678,231.8136
162,58.325,92.7037,95.1525,88.894,0,73.4314,243.6843
162.5,57.78,92.8948,97.2638,88.334,0,76.2066,234.9791
163,57.453,92.8479,96.2165,90.1362,0,79.5708,226.2739
163.5,56.9271,93.0554,95.5905,90.5305,0,82.2186,241.3102
164,57.507,92.764,95.6389,89.6971,0,85.1324,234.1877
164.5,58.7785,92.8262,95.7066,90.5032,0,81.0854,242.1016
165,58.8908,93.08,96.7554,89.333,0,69.5962,250.0154
165.5,58.6458,93.3825,96.7136,87.5036,0,61.6466,234.1877
166,59.1619,94.3035,97.8638,89.3973,0,65.8119,227.0653
166.5,58.6285,94.4705,99.3548,90.3585,0,82.7198,242.1016
167,58.5119,94.4615,99.4777,90.3075,0,83.6953,235.7705
167.5,61.871,94.08,100.3376,89.4129,0,67.2229,240.5188
168,62.6051,93.5318,98.7709,87.9846,0,65.0508,245.2671
168.5,59.1698,92.7703,96.3596,89.5885,0,73.2591,228.648
169,58.2657,92.9948,95.9287,90.3854,0,75.1069,235.7705
169.5,57.8901,93.372,95.9216,91.3925,0,68.3852,234.1877
170,57.3211,92.951,95.6877,91.3886,0,64.9352,227.0653
170.5,57.6179,92.6087,95.6872,90.792,0,72.0098,252.3896
171,58.6658,92.9847,96.1675,88.1121,0,86.2912,252.3896
171.5,58.9608,93.7179,96.7227,88.2265,0,92.8883,229.4394
172,58.8554,94.6888,97.464,91.49,0,82.6648,238.936
172.5,58.3441,94.4783,97.3236,92.2992,0,68.9757,231.0222
173,57.9121,94.1044,97.5018,91.7555,0,58.7857,231.0222
173.5,59.5355,94.306,98.8458,90.5585,0,49.2846,245.2671
174,64.8455,101.105,7     105.1094,92.8438,0,43.4024,246.8499
174.5,57.7694,91.4377,93.4856,87.1902,0,47.0323,219.1514
175,40.7999,64.5829,66.154,63.7956,0,54.65,243.6843
175.5,36.8134,58.1512,59.7583,56.0594,0,58.276,226.2739
176,35.68,57.2709,59.7296,55.9184,0,57.2244,221.5256
176.5,39.5724,59.9723,64.8748,53.0136,0,51.6178,246.0585
177,53.5132,77.2739,88.5291,62.2254,0,47.878,242.1016
177.5,54.4034,84.2537,90.1713,78.4056,0,61.3483,223.8997
178,56.3166,90.4672,93.1303,87.0743,0,87.3239,245.2671
178.5,59.5533,94.3207,97.3071,90.3507,0,88.6511,227.0653
179,60.5506,93.8361,97.5275,89.5451,0,75.7721,231.0222
179.5,59.063,93.1262,96.6261,89.6017,0,75.2179,245.2671
180,58.3179,93.7673,96.6057,89.8452,0,73.6811,246.0585
180.5,57.8675,94.1324,100.1536,87.8527,0,63.1743,222.3169
181,57.8632,94.2744,100.2823,87.6272,0,61.5689,238.1446
181.5,58.5911,94.2803,98.1521,89.1438,0,67.0723,261.0948
182,58.9293,94.4134,98.3375,90.397,0,68.4783,261.0948
182.5,58.5945,94.2594,98.5674,90.3423,0,62.5003,252.3896
183,58.4152,94.6636,99.4754,88.7073,0,48.8479,246.0585
183.5,58.7117,93.9993,98.1976,87.399,0,43.9307,232.6049
184,58.0277,92.6097,96.6677,85.2617,0,50.0431,238.936
184.5,57.6196,94.1426,99.8953,88.5451,0,59.3543,220.7342
185,58.9281,94.5222,96.5783,92.2052,0,62.6492,231.8136
185.5,59.1035,93.7439,95.9833,89.6952,0,63.7593,254.7637
186,57.7697,93.4044,95.5538,91.7542,0,66.5468,257.1379
186.5,58.1182,93.646,96.951,90.0746,0,64.0149,234.1877
187,58.5462,93.7776,96.8575,91.1069,0,59.787,241.3102
187.5,58.4466,93.6941,96.2365,90.6892,0,67.0841,228.648
188,58.7913,94.2873,95.9886,90.6824,0,77.3813,238.1446
188.5,58.7921,93.6315,95.1632,90.6866,0,79.2468,243.6843
189,58.9173,93.4824,96.1434,89.1381,0,76.1916,256.3465
189.5,59.3735,94.1925,99.3035,91.3881,0,69.616,231.8136
190,58.8706,94.5421,98.8904,91.1512,0,74.4727,242.1016
190.5,58.821,94.8175,97.5248,90.6208,0,80.209,223.8997
191,59.6875,94.4433,98.1726,88.9976,0,72.7429,240.5188
191.5,59.5399,94.4713,98.9783,90.0643,0,66.8487,246.0585
192,60.4175,95.1041,100.4866,91.7859,0,68.7872,247.6413
192.5,60.0208,95.4789,100.7251,91.9181,0,70.8405,224.6911
193,59.3222,95.4316,100.9598,92.1696,0,71.0516,239.7274
193.5,60.4539,95.3729,99.7396,92.3088,0,70.6209,232.6049
194,60.3339,95.1659,99.8736,92.0724,0,74.5867,242.893
194.5,59.0768,94.9491,97.2134,92.0169,0,72.4967,243.6843
195,59.1116,94.9123,97.6474,91.1768,0,60.2544,255.5551
195.5,58.9655,94.6512,97.57,91.082,0,54.5562,219.9428
196,58.3486,95.473,99.3436,93.2581,0,55.6359,234.9791
196.5,58.1564,96.5836,98.5399,93.3329,0,59.4095,228.648
197,58.4546,95.9818,99.6742,93.4907,0,62.2971,231.0222
197.5,59.0309,95.2136,98.1838,92.9559,0,62.2741,246.0585
198,59.8035,95.079,98.9574,91.8492,0,72.9713,241.3102
198.5,59.8016,94.6523,98.863,89.7522,0,81.708,223.1083
199,59.2863,94.7477,97.8659,92.4764,0,81.3616,248.4326
199.5,58.8046,94.7611,97.9046,91.9076,0,73.972,229.4394
200,58.9261,94.6963,97.5725,91.5628,0,62.8499,231.0222
200.5,59.4268,94.7453,97.4029,91.9161,0,64.6332,250.0154
201,60.6866,94.8646,98.097,92.2876,0,78.8204,241.3102
201.5,61.8656,94.5732,97.94,91.3626,0,80.1519,223.1083
202,60.6395,94.1796,98.6348,89.8199,0,71.2427,244.4757
202.5,59.4772,93.6548,97.7378,88.8845,0,63.5261,221.5256
203,60.9972,93.8635,97.6347,89.3335,0,57.6695,231.0222
203.5,60.5145,94.4601,98.4858,91.0126,0,59.6287,250.0154
204,60.397,93.9953,99.5565,87.9081,0,60.5783,240.5188
204.5,60.9346,93.1981,100.5545,85.9194,0,56.9194,236.5619
205,59.5032,93.243,98.692,88.7391,0,56.5192,240.5188
205.5,58.4934,93.0721,96.3526,88.7875,0,61.7014,230.2308
206,58.256,93.1609,100.5308,89.3547,0,64.4102,238.936
206.5,57.9311,93.5847,103.4145,89.4997,0,59.7325,259.512
207,57.1147,93.7277,97.8925,89.306,0,60.2339,257.9293
207.5,56.1934,93.6439,99.2385,88.5799,0,67.2462,231.8136
208,57.2678,93.7103,98.5667,88.2119,0,74.275,237.3533
208.5,59.0383,94.1081,99.2997,89.9737,0,80.2107,231.8136
